artist_name,track_name,genres,followers,popularity,duration,release_date,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
SZA,Nobody Gets Me,"['pop', 'r&b']",11652472,87,180.853,2022-12-09,0.358,0.284,0.0285,0.805,0.0,0.183,0.276,99.796,pop
SZA,Shirt,"['pop', 'r&b']",11652472,84,181.84,2022-12-09,0.848,0.512,0.102,0.228,0.00232,0.0879,0.572,120.009,pop
SZA,Kiss Me More (feat. SZA),"['pop', 'r&b']",11652472,81,208.666,2021-06-25,0.764,0.705,0.0284,0.259,8.92e-05,0.12,0.781,110.97,pop
SZA,Good Days,"['pop', 'r&b']",11652472,79,278.48,2022-12-09,0.461,0.651,0.0568,0.418,1.26e-05,0.782,0.383,121.07,pop
SZA,All The Stars (with SZA),"['pop', 'r&b']",11652472,84,232.186,2018-02-09,0.698,0.633,0.0597,0.0605,0.000194,0.0926,0.552,96.924,pop
SZA,Blind,"['pop', 'r&b']",11652472,83,150.72,2022-12-09,0.461,0.279,0.0373,0.911,0.0,0.205,0.599,114.225,pop
SZA,Kill Bill - Sped Up Version,"['pop', 'r&b']",11652472,81,137.528,2023-01-13,0.678,0.798,0.0316,0.0383,0.269,0.126,0.509,99.941,pop
Rihanna,We Found Love,"['barbadian pop', 'pop', 'urban contemporary']",54115995,84,215.226,2011-11-18,0.734,0.766,0.0383,0.025,0.00138,0.108,0.6,127.986,pop
Rihanna,Umbrella,"['barbadian pop', 'pop', 'urban contemporary']",54115995,73,275.986,2007-01-01,0.583,0.829,0.134,0.00864,0.0,0.0426,0.575,174.028,pop
Rihanna,Love On The Brain,"['barbadian pop', 'pop', 'urban contemporary']",54115995,86,224.0,2016-01-28,0.509,0.637,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,pop
Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,"['barbadian pop', 'pop', 'urban contemporary']",54115995,78,196.52,2022-11-11,0.247,0.299,0.0315,0.899,0.0,0.131,0.172,177.115,pop
Rihanna,Diamonds,"['barbadian pop', 'pop', 'urban contemporary']",54115995,76,225.146,2012-01-01,0.564,0.71,0.0461,0.00125,0.0,0.109,0.393,91.972,pop
Rihanna,Only Girl (In The World),"['barbadian pop', 'pop', 'urban contemporary']",54115995,83,235.493,2010-01-01,0.789,0.706,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,pop
Rihanna,Stay,"['barbadian pop', 'pop', 'urban contemporary']",54115995,74,240.706,2012-01-01,0.621,0.31,0.0283,0.945,6.12e-05,0.117,0.125,111.893,pop
Rihanna,Needed Me,"['barbadian pop', 'pop', 'urban contemporary']",54115995,83,191.6,2016-01-28,0.671,0.314,0.244,0.11,0.0,0.0825,0.296,110.898,pop
Rihanna,S&M,"['barbadian pop', 'pop', 'urban contemporary']",54115995,81,243.6,2010-01-01,0.769,0.684,0.0411,0.0105,0.000125,0.0887,0.835,127.972,pop
Rihanna,Where Have You Been,"['barbadian pop', 'pop', 'urban contemporary']",54115995,79,242.68,2011-11-18,0.719,0.847,0.0916,0.00201,0.0204,0.221,0.444,127.963,pop
Lana Del Rey,Summertime Sadness,"['art pop', 'pop']",22316798,75,264.773,2012-01-01,0.566,0.647,0.0335,0.0477,0.0,0.121,0.22,111.96,pop
Lana Del Rey,A&W,"['art pop', 'pop']",22316798,76,433.916,2023-03-24,0.421,0.247,0.143,0.665,0.375,0.115,0.139,161.468,pop
Lana Del Rey,Snow On The Beach (feat. Lana Del Rey),"['art pop', 'pop']",22316798,81,256.124,2022-10-21,0.663,0.319,0.0375,0.69,0.000993,0.117,0.193,109.957,pop
Lana Del Rey,Young And Beautiful,"['art pop', 'pop']",22316798,83,236.053,2013-01-01,0.324,0.416,0.0368,0.262,3.69e-05,0.11,0.151,113.986,pop
Lana Del Rey,West Coast,"['art pop', 'pop']",22316798,83,256.76,2014-01-01,0.527,0.591,0.0396,0.194,0.0194,0.0907,0.461,123.167,pop
Lana Del Rey,Doin' Time,"['art pop', 'pop']",22316798,82,202.192,2019-08-30,0.641,0.559,0.0355,0.404,0.00402,0.0937,0.523,144.982,pop
Lana Del Rey,Video Games,"['art pop', 'pop']",22316798,67,281.946,2012-01-01,0.39,0.252,0.0298,0.808,0.0,0.0887,0.181,122.053,pop
Lana Del Rey,Brooklyn Baby,"['art pop', 'pop']",22316798,81,351.64,2014-01-01,0.404,0.664,0.0407,0.542,0.00402,0.11,0.0949,107.747,pop
Lana Del Rey,Cinnamon Girl,"['art pop', 'pop']",22316798,81,300.683,2019-08-30,0.294,0.337,0.036,0.814,0.414,0.14,0.135,91.781,pop
Lana Del Rey,Diet Mountain Dew,"['art pop', 'pop']",22316798,68,222.92,2012-01-01,0.442,0.68,0.0858,0.284,0.0,0.421,0.601,176.09,pop
Ariana Grande,Die For You (with Ariana Grande) - Remix,"['dance pop', 'pop']",89130720,82,232.857,2023-03-14,0.575,0.5,0.0707,0.227,0.0,0.335,0.506,67.033,pop
Ariana Grande,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"['dance pop', 'pop']",89130720,83,191.013,2020-03-20,0.65,0.825,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,pop
Ariana Grande,7 rings,"['dance pop', 'pop']",89130720,85,178.626,2019-02-08,0.778,0.317,0.334,0.592,0.0,0.0881,0.327,140.048,pop
Ariana Grande,One Last Time,"['dance pop', 'pop']",89130720,83,197.266,2014-08-25,0.628,0.593,0.0323,0.093,1.65e-06,0.096,0.104,125.026,pop
Ariana Grande,positions,"['dance pop', 'pop']",89130720,83,172.324,2020-10-30,0.737,0.802,0.0878,0.468,0.0,0.0931,0.682,144.015,pop
Ariana Grande,"thank u, next","['dance pop', 'pop']",89130720,82,207.32,2019-02-08,0.717,0.653,0.0658,0.229,0.0,0.101,0.412,106.966,pop
Ariana Grande,Stuck with U (with Justin Bieber),"['dance pop', 'pop']",89130720,81,228.482,2020-05-08,0.597,0.45,0.0418,0.223,0.0,0.382,0.537,178.765,pop
Ariana Grande,Into You,"['dance pop', 'pop']",89130720,71,244.453,2016-05-20,0.623,0.734,0.107,0.0162,1.75e-06,0.145,0.37,107.853,pop
Ariana Grande,Love Me Harder,"['dance pop', 'pop']",89130720,79,236.133,2014-08-25,0.472,0.714,0.0334,0.00937,0.0,0.0764,0.24,98.992,pop
Ariana Grande,34+35,"['dance pop', 'pop']",89130720,79,173.71,2020-10-30,0.83,0.585,0.094,0.237,0.0,0.248,0.485,109.978,pop
Miley Cyrus,Flowers,['pop'],20218283,88,200.6,2023-03-10,0.707,0.681,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,pop
Miley Cyrus,River,['pop'],20218283,88,162.973,2023-03-10,0.613,0.803,0.0367,0.000525,0.000333,0.189,0.461,127.989,pop
Miley Cyrus,Party In The U.S.A.,['pop'],20218283,77,202.066,2009-01-01,0.652,0.698,0.042,0.00112,0.000115,0.0886,0.47,96.021,pop
Miley Cyrus,Jaded,['pop'],20218283,85,185.933,2023-03-10,0.496,0.593,0.0285,0.0476,0.0,0.0909,0.177,91.038,pop
Miley Cyrus,Nothing Breaks Like a Heart (feat. Miley Cyrus),['pop'],20218283,78,217.099,2019-06-21,0.601,0.794,0.0671,0.00987,1.36e-06,0.418,0.244,114.066,pop
Miley Cyrus,Angels Like You,['pop'],20218283,82,196.453,2020-11-27,0.672,0.642,0.0313,0.0981,0.0,0.1,0.494,121.981,pop
Miley Cyrus,Prisoner (feat. Dua Lipa),['pop'],20218283,81,169.333,2020-11-27,0.781,0.67,0.0452,0.0103,0.0,0.0761,0.595,127.99,pop
Miley Cyrus,Rose Colored Lenses,['pop'],20218283,81,223.786,2023-03-10,0.539,0.503,0.0385,0.0574,2.34e-05,0.0847,0.836,174.068,pop
Miley Cyrus,Wrecking Ball,['pop'],20218283,81,221.36,2013-10-04,0.53,0.422,0.0342,0.407,0.0,0.107,0.349,119.964,pop
Miley Cyrus,Thousand Miles (feat. Brandi Carlile),['pop'],20218283,80,231.0,2023-03-10,0.503,0.722,0.103,0.205,3.52e-05,0.0845,0.354,172.006,pop
Lil Wayne,Love Me,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13332783,80,255.053,2013-01-01,0.669,0.634,0.0327,0.0125,0.0,0.0946,0.496,124.906,pop
Lil Wayne,Lollipop,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13332783,66,299.333,2008-01-01,0.832,0.43,0.0826,0.0606,0.00323,0.124,0.462,148.074,pop
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13332783,75,243.49,2016-06-24,0.502,0.786,0.317,0.255,0.0,0.65,0.739,169.021,pop
Lil Wayne,A Milli,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13332783,67,221.813,2008-01-01,0.663,0.688,0.283,0.0391,0.00224,0.223,0.731,151.589,pop
Lil Wayne,Forever,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13332783,73,357.706,2009-05-15,0.457,0.906,0.342,0.249,0.0,0.182,0.54,104.02,pop
Lil Wayne,6 Foot 7 Foot,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13332783,73,248.586,2011-08-29,0.364,0.752,0.304,0.0007,0.0,0.318,0.606,79.119,pop
Lil Wayne,Mirror,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13332783,75,228.093,2011-08-29,0.328,0.622,0.0866,0.858,0.0,0.104,0.401,74.267,pop
Lil Wayne,Gladiador - Remix,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13332783,74,197.374,2023-03-17,0.584,0.787,0.146,0.203,0.0,0.251,0.765,153.992,pop
Lil Wayne,Kant Nobody (feat. DMX),"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13332783,42,180.359,2023-03-31,0.522,0.797,0.338,0.308,0.0,0.113,0.503,175.236,pop
Lil Wayne,AIN'T GONNA ANSWER,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",13332783,72,187.453,2023-03-23,0.879,0.875,0.18,0.0808,0.0,0.327,0.763,95.021,pop
Nicki Minaj,Red Ruby Da Sleeze,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27784476,84,214.445,2023-03-03,0.696,0.733,0.256,0.115,0.0,0.111,0.292,98.355,pop
Nicki Minaj,Super Freaky Girl,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27784476,75,170.977,2022-08-26,0.951,0.878,0.211,0.0509,1.61e-05,0.321,0.923,133.014,pop
Nicki Minaj,Starships,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27784476,74,210.626,2011-01-01,0.747,0.716,0.075,0.135,0.0,0.251,0.751,125.008,pop
Nicki Minaj,Tusa,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27784476,74,201.92,2021-03-26,0.799,0.701,0.282,0.309,7.36e-05,0.0514,0.607,100.946,pop
Nicki Minaj,Beauty And A Beat,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27784476,57,226.613,2020-05-22,0.587,0.82,0.0668,0.0011,7.36e-06,0.131,0.578,127.976,pop
Nicki Minaj,Bang Bang,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27784476,78,199.386,2014-10-14,0.706,0.786,0.091,0.26,0.0,0.38,0.751,150.028,pop
Nicki Minaj,Super Bass,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27784476,79,200.013,2010-11-22,0.723,0.86,0.203,0.271,4.56e-06,0.598,0.667,126.979,pop
Nicki Minaj,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27784476,75,216.408,2017-02-23,0.696,0.817,0.109,0.075,0.0,0.187,0.782,98.064,pop
Nicki Minaj,Only,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27784476,71,312.026,2014-12-15,0.573,0.495,0.592,0.405,0.0,0.0969,0.255,179.196,pop
Nicki Minaj,Tukoh Taka - Official FIFA Fan Festival™ Anthem,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']",27784476,72,178.529,2022-11-18,0.963,0.905,0.117,0.654,0.0481,0.107,0.594,123.998,pop
Kali Uchis,Moonlight,"['colombian pop', 'pop']",3949256,80,187.723,2023-03-03,0.642,0.706,0.052,0.518,0.0,0.25,0.896,136.851,pop
Kali Uchis,telepatía,"['colombian pop', 'pop']",3949256,83,160.191,2020-12-04,0.653,0.524,0.0502,0.112,0.0,0.203,0.553,83.97,pop
Kali Uchis,Melting,"['colombian pop', 'pop']",3949256,83,208.853,2015-02-04,0.574,0.479,0.0355,0.179,0.0803,0.106,0.303,115.263,pop
Kali Uchis,I Wish you Roses,"['colombian pop', 'pop']",3949256,76,219.954,2023-03-03,0.452,0.589,0.0458,0.18,0.00048,0.139,0.315,141.692,pop
Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","['colombian pop', 'pop']",3949256,81,207.454,2018-04-06,0.702,0.659,0.13,0.301,0.00201,0.218,0.843,79.64,pop
Kali Uchis,Dead To Me,"['colombian pop', 'pop']",3949256,78,199.505,2018-04-06,0.675,0.761,0.0466,0.432,0.0,0.102,0.428,119.001,pop
Kali Uchis,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"['colombian pop', 'pop']",3949256,78,204.763,2021-09-16,0.87,0.523,0.0602,0.433,2.07e-05,0.113,0.319,110.02,pop
Kali Uchis,Fantasy (feat. Don Toliver),"['colombian pop', 'pop']",3949256,77,178.274,2023-03-03,0.641,0.684,0.0476,0.129,0.000288,0.141,0.188,104.036,pop
Kali Uchis,Hasta Cuando,"['colombian pop', 'pop']",3949256,75,129.448,2023-03-03,0.648,0.651,0.143,0.128,0.0,0.121,0.401,90.952,pop
Kali Uchis,Worth the Wait (feat. Omar Apollo),"['colombian pop', 'pop']",3949256,74,150.699,2023-03-03,0.583,0.544,0.228,0.725,0.0,0.585,0.211,155.9,pop
Justin Bieber,STAY (with Justin Bieber),"['canadian pop', 'pop']",70963102,85,141.805,2021-07-27,0.591,0.764,0.0483,0.0383,0.0,0.103,0.478,169.928,pop
Justin Bieber,Ghost,"['canadian pop', 'pop']",70963102,87,153.19,2021-03-19,0.601,0.741,0.0478,0.185,2.91e-05,0.415,0.441,153.96,pop
Justin Bieber,Love Yourself,"['canadian pop', 'pop']",70963102,84,233.72,2015-11-13,0.609,0.378,0.438,0.835,0.0,0.28,0.515,100.418,pop
Justin Bieber,Private Landing (feat. Justin Bieber & Future),"['canadian pop', 'pop']",70963102,84,238.253,2023-02-24,0.843,0.669,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,pop
Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),"['canadian pop', 'pop']",70963102,83,198.081,2021-03-19,0.677,0.696,0.119,0.321,0.0,0.42,0.464,90.03,pop
Justin Bieber,bad guy,"['canadian pop', 'pop']",70963102,58,194.839,2021-07-20,0.67,0.453,0.295,0.256,0.327,0.117,0.685,135.047,pop
Justin Bieber,Sorry,"['canadian pop', 'pop']",70963102,82,200.786,2015-11-13,0.654,0.76,0.045,0.0797,0.0,0.299,0.41,99.945,pop
Justin Bieber,Baby,"['canadian pop', 'pop']",70963102,81,214.24,2010-01-01,0.728,0.859,0.137,0.0401,0.0,0.111,0.535,65.043,pop
Justin Bieber,Stuck with U (with Justin Bieber),"['canadian pop', 'pop']",70963102,81,228.482,2020-05-08,0.597,0.45,0.0418,0.223,0.0,0.382,0.537,178.765,pop
Justin Bieber,Beauty And A Beat,"['canadian pop', 'pop']",70963102,74,227.986,2012-01-01,0.601,0.843,0.0593,0.000704,5.27e-05,0.0681,0.534,128.002,pop
Doja Cat,I Like You (A Happier Song) (with Doja Cat),"['dance pop', 'pop']",24946222,87,192.84,2022-06-03,0.733,0.67,0.0751,0.121,0.0,0.121,0.472,100.964,pop
