artist_name,track_name,genres,followers,popularity,duration,release_date,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
Lil Baby,Freestyle,"['atl hip hop', 'atl trap', 'rap', 'trap']",13586820,85,162.053,2017-12-01,0.877,0.517,0.0706,0.217,0.0,0.143,0.255,119.996,hip hop
Lil Baby,Drip Too Hard (Lil Baby & Gunna),"['atl hip hop', 'atl trap', 'rap', 'trap']",13586820,84,145.542,2018-10-05,0.897,0.662,0.292,0.0852,0.0,0.534,0.389,112.511,hip hop
Lil Baby,Pure Cocaine,"['atl hip hop', 'atl trap', 'rap', 'trap']",13586820,82,154.023,2018-11-30,0.964,0.487,0.421,0.00127,6.57e-06,0.115,0.107,127.05,hip hop
Lil Baby,Wants and Needs (feat. Lil Baby),"['atl hip hop', 'atl trap', 'rap', 'trap']",13586820,82,192.956,2021-03-05,0.578,0.449,0.286,0.0618,2.17e-06,0.119,0.1,136.006,hip hop
Lil Baby,Yes Indeed,"['atl hip hop', 'atl trap', 'rap', 'trap']",13586820,82,142.273,2018-05-18,0.963,0.346,0.53,0.0355,0.0,0.108,0.562,119.957,hip hop
Lil Baby,Low Down,"['atl hip hop', 'atl trap', 'rap', 'trap']",13586820,78,144.651,2020-05-01,0.962,0.619,0.405,0.0354,0.0,0.083,0.154,127.958,hip hop
Lil Baby,Baby (Lil Baby feat. DaBaby),"['atl hip hop', 'atl trap', 'rap', 'trap']",13586820,76,142.417,2019-08-16,0.97,0.463,0.366,0.0957,0.0,0.151,0.46,108.003,hip hop
Lil Baby,Forever (feat. Fridayy),"['atl hip hop', 'atl trap', 'rap', 'trap']",13586820,77,167.977,2022-10-14,0.462,0.251,0.159,0.414,0.0,0.201,0.137,89.705,hip hop
Lil Baby,On Me,"['atl hip hop', 'atl trap', 'rap', 'trap']",13586820,77,135.959,2020-12-04,0.856,0.564,0.392,0.00327,0.0,0.134,0.483,77.972,hip hop
Lil Baby,Girls Want Girls (with Lil Baby),"['atl hip hop', 'atl trap', 'rap', 'trap']",13586820,77,221.979,2021-09-03,0.767,0.438,0.29,0.181,0.0,0.142,0.381,86.975,hip hop
Kendrick Lamar,Money Trees,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",23441872,81,386.906,2012,0.716,0.531,0.122,0.0703,0.0,0.224,0.344,71.994,hip hop
Kendrick Lamar,family ties (with Kendrick Lamar),"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",23441872,81,252.262,2021-09-10,0.711,0.611,0.33,0.00588,0.0,0.23,0.144,134.093,hip hop
Kendrick Lamar,All The Stars (with SZA),"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",23441872,84,232.186,2018-02-09,0.698,0.633,0.0597,0.0605,0.000194,0.0926,0.552,96.924,hip hop
